Location ZIP [Public School] 2011-12,School Name,ScriptEd,NAF/DOE,CTE,MOUSE,CSNYC,Bootstrap,SGD,SEP,TEALS,ECS,ASE,C/I,AP CS A,Club,Charter,CS Courses?,Address,Website,County,City,Lowest Grade Offered,Highest Grade Offered,Total Students 9th-12th [DOE 2013-14],9th Grade,10th Grade,11th Grade,12th Grade,Free Lunch % (Inside Schools),Free & Reduced Lunch (NCES  2011-12/2012-13),% eligible for free or reduced lunch (DOE 2013-14)
11206,WILLIAMSBURG CHARTER HIGH SCHOOL,,,,,,,,,,,,,,,YES,"Latin, Math, Science",198 VARET ST,http://www.thewcs.org/,,BROOKLYN,9th Grade,12th Grade,913,,,,,,82.1%,
11211,Williamsburg Collegiate Charter School,,,,,,,,,,,,,,,YES,part of Uncommon Schools,"157 WILson Street, Brooklyn NY 11211",http://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&Zip=11372&Miles=10&DistrictPageNum=2&ID2=3600145,,BROOKLYN,9th Grade,12th Grade,969,,,,,,87.0%,
11211,Williamsburg High School for Architecture and Design,,,YES,,,,,,,,,,,,,None,"257 North 6th Street, Brooklyn, NY 11211",http://insideschools.org/component/schools/school/653,,BROOKLYN,9th Grade,12th Grade,579,157,150,154,118,,,82.0%
11211,WILLIAMSBURG PREPARATORY SCHOOL,,,,,,,,,,,,,,,,Technology Extracurricular; Black Girls Code advertised on their website,"257 North 6th Street, Brooklyn, NY 11211","http://www.williamsburgprep.com/
http://insideschools.org/component/schools/school/654",,BROOKLYN,9th Grade,12th Grade,671,162,173,170,166,,,81.4%
10460,WINGS ACADEMY,,,,,,,,,,,,,,,,None,"1122 EAST 180 STREET, Bronx NY 10460",http://insideschools.org/component/schools/school/578,,BRONX,9th Grade,12th Grade,534,173,138,117,106,,,85.2%
10473,WOMEN'S ACADEMY OF EXCELLENCE,,,,,,,,,,,,,,,,Female-only; unclear curriculum,"456 WHITE PLAINS ROAD, Bronx NY 10473",http://insideschools.org/component/schools/school/334?Itemid=64,,BRONX,9th Grade,12th Grade,395,86,108,104,97,,,83.3%
11207,World Academy for Total Community Health High School (WATCH),,,YES,,,,,,,,,,,,,None,"400 PENNSYLVANIA AVENUE, Brooklyn, NY 11207",http://insideschools.org/component/schools/school/829,,BROOKLYN,9th Grade,12th Grade,309,81,79,70,79,,,85.4%
10468,WORLD VIEW HIGH SCHOOL,,,,,,,,,,,,,,,,New school (2013); unclear,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX NY",http://insideschools.org/component/schools/school/8249,,BRONX,9th Grade,10th Grade,71,71,0,0,0,,,95.8%
10029,YORK EARLY COLLEGE ACADEMY,,,,,,,,,,,,,,,,Unclear; Part of CUNY early college initiative,10835 167TH ST,http://insideschools.org/component/schools/school/1413,QUEENS COUNTY,JAMAICA,6th Grade,12th Grade,317,92,84,73,68,,,76.4%
11206,YOUNG WOMEN'S LEADERSHIP SCHOOL,,,,,,,,,,,,,,,,None; No advanced math or science courses,105 EAST 106TH ST,http://insideschools.org/component/schools/school/1413,NEW YORK COUNTY,NEW YORK,6th Grade,12th Grade,300,84,81,70,65,,,80.2%
11206,Young Women's Leadership School of Brooklyn,,,,,YES,,,,YES,,,,,YES,,Digital Video Design club,"325 Bushwick Avenue, Brooklyn, NY 11206",http://insideschools.org/component/schools/school/1573,,Brooklyn,6th Grade,12th Grade,191,66,76,49,0,,,79.8%
11102,"YOUNG WOMEN'S LEADERSHIP SCHOOL, Astoria",,,,YES,YES,,,,,YES,,,,,,All women; MOUSE and Tech Crew,"23-15 NEWTOWN AVENUE, Queens NY 11102",http://insideschools.org/component/schools/school/1347,,Queens,6th Grade,12th Grade,318,86,78,74,80,,,79.2%
11432,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",,,,,,,,,,,,,,YES,,Computer Extracurricular offered; all girls,"150-91 87 Road, Queens NY 11432",http://insideschools.org/component/schools/school/1387,,Queens,6th Grade,12th Grade,322,116,74,74,58,,,100.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*Includes ALL grades,,,,,,,
